index,image,title,actor,time,score
1,https://p0.meituan.net/movie/53d18b640f8af0c47d7c95488450c265388754.jpg@160w_220h_1e_1c,射雕英雄传之东成西就,"张国荣,梁朝伟,张学友",1993-02-05(中国香港),8.8
2,https://p0.meituan.net/movie/df15efd261060d3094a73ef679888d4f238149.jpg@160w_220h_1e_1c,十二怒汉,"亨利·方达,李·科布,马丁·鲍尔萨姆",1957-04-13(美国),9.1
3,https://p1.meituan.net/movie/6a964e9cee699267053bd6a4bf6f2671195394.jpg@160w_220h_1e_1c,剪刀手爱德华,"约翰尼·德普,薇诺娜·瑞德,黛安娜·威斯特",1990-12-06(美国),8.8
4,https://p0.meituan.net/movie/223c3e186db3ab4ea3bb14508c709400427933.jpg@160w_220h_1e_1c,乱世佳人,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",1939-12-15(美国),9.1
5,https://p1.meituan.net/movie/226f647bd2bf6f45d8d503c0ae8d920c341293.jpg@160w_220h_1e_1c,初恋这件小事,"马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",2012-06-05,8.8
6,https://p1.meituan.net/movie/b607fba7513e7f15eab170aac1e1400d878112.jpg@160w_220h_1e_1c,泰坦尼克号,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",1998-04-03,9.4
7,https://p0.meituan.net/movie/b3defc07dfaa1b6f5b74852ce38a3f8f242792.jpg@160w_220h_1e_1c,搏击俱乐部,"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",1999-09-10(意大利),8.8
8,https://p0.meituan.net/movie/609e45bd40346eb8b927381be8fb27a61760914.jpg@160w_220h_1e_1c,海上钢琴师,"蒂姆·罗斯,比尔·努恩,克兰伦斯·威廉姆斯三世",2019-11-15,9.3
9,https://p1.meituan.net/movie/0b0d45b58946078dd24d4945dd6be3b51329411.jpg@160w_220h_1e_1c,甜蜜蜜,"黎明,张曼玉,杜可风",2015-02-13,9.2
10,https://p0.meituan.net/movie/8112a8345d7f1d807d026282f2371008602126.jpg@160w_220h_1e_1c,肖申克的救赎,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",1994-09-10(加拿大),9.5
11,https://p1.meituan.net/movie/bc022b86345c643ca21d759166f77a553679589.jpg@160w_220h_1e_1c,疯狂原始人,"尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",2013-04-20,9.5
12,https://p0.meituan.net/movie/389d81144eab106ac08c870bb4e366be547402.jpg@160w_220h_1e_1c,钢琴家,"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",2002-05-24(法国),8.8
13,https://p0.meituan.net/movie/09658109acfea0e248a63932337d8e6a4268980.jpg@160w_220h_1e_1c,蝙蝠侠：黑暗骑士,"克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",2008-07-14(阿根廷),9.3
14,https://p0.meituan.net/moviemachine/4755165ffd65eb737bb5160ea911e0fa343438.jpg@160w_220h_1e_1c,哈利·波特与魔法石,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2002-01-26,9.2
15,https://p1.meituan.net/movie/580d81a2c78bf204f45323ddb4244b6c6821175.jpg@160w_220h_1e_1c,美丽人生,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",2020-01-03,9.3
16,https://p0.meituan.net/movie/59c05effc4755c627901fb7e044d071d851055.jpg@160w_220h_1e_1c,楚门的世界,"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",1998(罗马尼亚),8.9
17,https://p1.meituan.net/movie/4ffca83fd972f71e291f8ea8d78a4b58594878.jpg@160w_220h_1e_1c,七武士,"三船敏郎,志村乔,千秋实",1954-04-26(日本),9.1
