歌曲排名,歌曲名,演唱者,播放次数,上榜时间
1,老师说 (诗朗诵),王敖（音乐人）,720次播放,(上榜6天)
2,去远方,俊州,905次播放,(上榜1天)
3, 生而为人,祥树,1963次播放,(上榜3天)
4,2020.08-梦神（2020+2009版）,我爱陈绮贞,1120次播放,(上榜3天)
5,如果你冷-cover,林若然,258次播放,(上榜6天)
6,一点夜晚,title乐队,301次播放,(上榜6天)
7,HollyJeremy婚礼纪念（词：赵鹤 曲/演唱：郝致用）,许婧靖,428次播放,(上榜10天)
8,今生无法把你忘记,词曲唱作人刘良智,340次播放,(上榜10天)
9,Duet,Cottonseed,65次播放,(上榜1天)
10,Set Sail,SakyoStan,47次播放,(上榜1天)
11,这就是我,杜老师,1112次播放,(上榜17天)
12,完美的真空 A Perfect Vacuum,Fractals,623次播放,(上榜15天)
13,悲伤的歌1.0 demo(上） 20200826,小淞,539次播放,(上榜15天)
14,Growing up-demo,Garry,75次播放,(上榜8天)
15,cry of fear,鲁智深,43次播放,(上榜6天)
16,Crush,曹悦,35次播放,(上榜6天)
17,in another world,mutedevil,169次播放,(上榜3天)
18,Flying,Megapsyche,133次播放,(上榜10天)
19,夜郎自大:痛自创艾（feat kim）,无量亿劫,236次播放,(上榜13天)
20,明日之后-圣诞音乐-完整版_181211,Maxteiner,148次播放,(上榜8天)
